Time(ms),Cap0,Cap1,Cap2,Cap3,Cap4,Cap5,Cap6,Cap7,Cap8,Cap9,Cap10,Cap1
69,136,131,131,139,141,132,141,153,305,299,290,311
135,136,131,131,139,141,132,141,153,305,299,290,311
191,136,131,131,139,141,132,142,153,305,299,290,311
247,136,130,131,138,141,132,141,153,305,299,290,311
303,136,131,131,138,141,132,142,153,305,299,290,311
359,136,131,131,138,141,132,142,153,305,298,290,311
415,136,131,131,139,141,132,142,153,305,299,290,311
472,136,131,131,139,141,132,142,153,305,299,290,311
528,136,131,131,138,141,132,142,152,305,299,290,311
584,136,131,131,139,141,132,142,153,305,299,290,311
641,136,131,131,139,141,132,142,153,305,299,290,311
696,136,131,131,139,141,132,142,153,305,298,290,311
752,136,131,131,139,141,132,142,153,305,299,290,311
808,136,131,131,138,141,132,142,152,305,299,290,311
865,136,130,130,139,141,132,142,153,305,299,290,311
921,136,131,131,139,141,132,142,153,305,299,290,311
977,136,131,131,138,141,132,141,153,305,299,290,311
1033,136,130,131,139,141,132,142,153,305,299,290,311
1090,136,131,131,139,141,132,142,153,305,299,290,311
1147,136,131,131,139,141,132,142,153,305,299,290,311
1205,136,130,131,139,141,132,141,153,305,299,290,311
1262,136,130,131,139,141,132,142,153,305,299,290,311
1319,136,131,131,139,141,132,141,153,305,299,290,311
1377,136,131,130,138,141,132,141,153,305,299,290,311
1433,136,131,131,139,141,132,142,153,305,299,290,311
1490,136,131,131,138,141,132,142,153,305,298,290,311
1548,136,131,131,138,141,132,141,153,305,299,290,311
1605,136,131,131,138,141,132,142,152,305,299,290,311
1662,136,131,131,138,141,132,141,153,305,299,290,311
1720,136,131,131,138,141,132,142,153,305,299,290,311
1777,136,131,131,138,141,132,142,152,305,299,290,311
1833,136,131,131,139,141,132,142,153,305,299,290,311
1891,136,131,131,139,141,132,142,153,305,299,290,311
1948,136,131,131,139,141,132,142,153,305,299,290,311
2006,136,131,131,138,141,132,142,153,305,299,290,311
2063,136,131,131,138,141,132,142,153,305,299,290,311
2120,136,131,131,138,141,132,141,152,305,299,290,311
2178,136,130,130,139,141,132,142,153,305,299,290,311
2234,136,131,131,139,141,132,142,153,305,298,290,311
2291,136,131,131,138,141,132,141,153,305,299,290,311
2349,136,131,130,138,141,132,142,153,305,299,290,311
2406,136,131,131,138,141,132,142,152,305,298,290,311
2463,136,130,131,138,141,132,141,153,305,299,290,311
2521,136,131,131,139,141,132,142,153,305,298,290,311
2578,136,131,131,138,141,132,142,153,305,299,290,311
2635,136,131,131,139,141,132,142,153,305,299,290,311
2692,136,131,131,139,141,132,142,153,305,299,290,311
2749,136,131,131,139,141,132,142,153,305,299,290,311
2806,136,131,131,139,141,132,142,153,305,299,290,311
2864,136,130,131,138,141,132,142,153,305,299,290,311
2921,136,130,131,138,141,132,142,153,305,299,290,311
2978,136,130,131,139,141,132,141,153,305,299,290,311
3036,136,131,131,139,141,132,142,153,305,299,290,311
3092,136,131,130,139,141,132,142,153,305,299,290,311
3149,136,131,131,139,141,132,142,153,305,299,290,311
3207,136,131,131,138,141,132,142,153,305,299,290,311
3264,136,130,131,139,141,132,142,153,305,299,290,311
3321,136,131,131,138,141,132,142,153,305,299,290,311
3379,136,131,131,139,141,132,141,153,305,299,290,311
3436,136,131,131,138,141,132,141,153,305,299,290,311
3492,136,131,131,138,141,132,142,152,305,299,290,311
3550,136,130,131,139,141,132,142,153,305,298,290,311
3607,136,131,131,138,141,132,142,153,305,299,290,311
3664,136,131,131,139,141,132,141,153,305,299,290,311
3722,136,131,131,138,141,132,142,153,305,299,290,311
3779,136,131,131,139,141,132,141,153,305,299,290,311
3836,136,131,131,138,141,132,142,153,305,299,290,311
3893,136,131,131,139,141,132,142,153,305,299,290,311
3950,136,131,131,138,141,132,142,153,305,299,290,311
4007,136,131,131,139,141,132,142,152,305,299,290,311
4065,136,131,131,139,141,132,142,153,305,299,290,311
4122,136,131,131,139,141,132,142,153,305,298,290,311
4179,136,131,131,139,141,132,142,153,305,299,290,311
4237,136,131,131,139,141,132,142,153,305,299,290,311
4293,136,131,131,139,141,132,141,153,305,299,290,311
4350,136,131,131,139,141,132,142,153,305,299,290,312
4408,136,131,131,138,141,132,141,153,305,299,290,311
4465,136,131,131,139,141,132,142,153,305,299,290,311
4523,136,131,131,139,141,132,142,153,305,299,290,312
4580,136,130,130,139,141,132,141,153,305,299,290,311
4637,136,131,131,138,141,132,142,153,305,299,290,311
4694,136,131,131,138,141,132,141,153,305,299,290,311
4751,136,131,131,139,141,132,142,153,305,299,290,311
4808,136,131,131,139,141,132,142,153,305,299,290,311
4866,136,130,131,139,141,132,142,153,305,299,290,311
4923,136,131,131,139,141,132,142,153,305,299,290,311
4980,136,130,131,139,141,132,142,153,305,299,290,311
5038,136,131,131,138,141,132,142,153,305,299,290,311
5094,136,131,131,139,141,132,141,153,305,299,290,311
5151,136,131,131,139,141,132,142,153,305,299,290,311
5209,136,131,131,139,141,132,142,153,305,298,290,311
5266,136,130,131,139,141,132,142,153,305,299,290,311
5323,136,131,131,138,141,132,142,153,305,299,290,311
5381,136,131,131,138,141,132,142,153,305,299,290,311
5438,136,131,131,138,141,132,142,153,305,299,290,311
5494,136,131,130,139,141,132,141,152,305,299,290,311
5552,136,130,131,138,141,132,141,153,305,299,290,311
5609,136,131,130,138,141,132,142,152,305,299,290,311
5666,136,131,131,139,141,132,141,153,305,299,290,311
5724,136,131,131,138,141,132,141,153,305,299,290,311
